,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
2236,3,Hyper equipped,2,1,2,220,Not specified,47,Gas,No,1300,150.36,No,Apartment ,205,Unknown,As new,Yes,1300
2237,0,Installed,3,1,1,247,Not specified,52,Gas,No,1560,40.0,No,Duplex ,150,Unknown,As new,No,1600
2239,1,Installed,2,1,2,221,Not specified,48,Gas,No,2200,50.0,No,Duplex ,135,No,As new,Unknown,2250
2242,5,USA hyper equipped,1,1,1,86,B,18,Gas,Yes,1700,300.0,No,Apartment ,61,Yes,As new,Yes,2000
2243,4,Hyper equipped,2,1,1,187,D,49,Gas,Yes,1150,133.01,No,Apartment ,88,No,As new,Yes,1150
2244,3,USA semi equipped,2,1,1,111,C,23,Gas,No,970,130.0,No,Apartment ,94,No,Good,Yes,1100
2245,3,USA installed,2,2,1,129,C,25,Gas,Yes,1250,150.0,No,Apartment ,92,Unknown,As new,Yes,1400
2247,1,Installed,1,1,1,220,Not specified,47,Gas,Yes,1300,150.36,No,Apartment ,90,Unknown,As new,No,1300
2248,1,USA installed,3,1,2,154,D,42,Gas,Yes,1800,150.0,No,Apartment ,120,Unknown,As new,Yes,1950
2249,0,Hyper equipped,3,2,2,255,Not specified,53,Gas,Yes,1350,170.0,No,Ground floor ,95,No,As new,No,1520
2250,3,Installed,1,1,1,292,F,58,Gas,Yes,700,15.0,No,Penthouse ,40,No,As new,Unknown,715
2252,4,USA hyper equipped,2,1,1,43,A,7,Gas,Yes,1200,180.0,No,Apartment ,90,No,As new,Yes,1380
2254,0,USA hyper equipped,2,2,2,114,C,24,Gas,Yes,1590,150.0,No,Apartment ,100,Unknown,As new,Yes,1740
2255,1,Hyper equipped,2,1,1,214,Not specified,49,Gas,No,1400,250.0,No,Apartment ,104,No,As new,Unknown,1650
2256,4,Hyper equipped,4,2,2,145,C,42,Gas,Yes,2350,350.0,No,Apartment ,170,No,As new,Yes,2700
2258,2,USA installed,1,1,1,82,B,61,Gas,Yes,750,25.0,No,Studio ,45,Unknown,As new,Unknown,775
2259,1,Hyper equipped,2,1,1,151,C,33,Gas,Yes,1050,25.0,No,Apartment ,85,No,As new,Unknown,1075
2264,0,Hyper equipped,2,1,1,235,E,46,Gas,Yes,1450,1.0,No,Apartment ,90,No,Good,No,1451
2265,1,Hyper equipped,2,1,1,292,F,38,Gas,Yes,1450,160.0,No,Apartment ,135,No,As new,Unknown,1610
2266,4,USA hyper equipped,2,1,1,206,Not specified,50,Gas,Yes,1050,75.0,No,Apartment ,75,Unknown,Just renovated,Yes,1125
2268,0,Semi equipped,1,1,1,222,E,47,Gas,Yes,770,85.0,No,Ground floor ,56,No,Good,Yes,855
2269,4,USA hyper equipped,1,1,1,260,E,51,Gas,Yes,1600,250.0,No,Apartment ,65,Yes,As new,Yes,1850
2270,3,USA hyper equipped,2,2,1,151,C,32,Gas,Yes,2150,125.0,No,Duplex ,112,No,As new,Yes,2275
2271,3,Hyper equipped,1,1,1,247,E,39,Electric,Yes,1150,133.01,No,Apartment ,65,Yes,Good,Yes,1150
2272,3,USA hyper equipped,2,1,2,229,E,45,Gas,Yes,1700,171.14,No,Penthouse ,115,No,As new,Yes,1700
2277,2,Hyper equipped,2,2,2,209,D,41,Gas,Yes,1400,150.0,No,Apartment ,110,No,As new,Yes,1550
2278,6,Hyper equipped,1,1,1,199,Not specified,38,Gas,Yes,1380,100.36,No,Loft ,100,Yes,As new,Unknown,1380
2280,2,Hyper equipped,2,1,1,251,E,50,Gas,Yes,1200,50.0,No,Apartment ,73,No,As new,No,1250
2281,1,Hyper equipped,1,1,2,323,F,64,Gas,Yes,1100,50.0,No,Apartment ,72,No,As new,Unknown,1150
2282,5,Hyper equipped,2,1,1,147,C,29,Gas,Yes,1400,290.0,No,Apartment ,100,No,As new,Yes,1690
2283,3,Hyper equipped,2,1,1,162,D,30,Gas,Yes,1300,150.0,No,Apartment ,108,No,Good,Yes,1450
2284,1,Hyper equipped,3,1,2,226,Not specified,50,Gas,Yes,2550,250.0,No,Apartment ,110,No,Good,Yes,2800
2285,0,USA hyper equipped,2,2,2,264,E,57,Gas,Yes,1250,200.0,No,Apartment ,119,Yes,As new,Yes,1450
2286,1,USA hyper equipped,2,1,1,190,D,40,Gas,No,1575,75.0,No,Apartment ,102,Unknown,As new,No,1650
2287,1,USA hyper equipped,1,1,1,135,C,26,Gas,Yes,1350,50.0,No,Apartment ,60,Yes,As new,Unknown,1400
2288,0,Hyper equipped,2,1,2,282,F,60,Gas,Yes,1300,200.0,No,Apartment ,105,No,Good,Yes,1500
2290,2,Hyper equipped,2,1,1,218,E,44,Gas,Yes,1650,70.0,No,Apartment ,130,No,As new,Yes,1720
2291,1,Hyper equipped,1,1,1,197,Not specified,40,Gas,No,1195,138.22,No,Apartment ,90,Unknown,As new,No,1195
2294,1,Hyper equipped,2,1,1,187,D,47,Gas,Yes,1300,150.36,No,Apartment ,165,No,Good,No,1300
2295,6,Hyper equipped,2,1,1,233,Not specified,58,Gas,No,1100,150.0,No,Apartment ,120,Unknown,As new,Yes,1250
2296,1,Installed,1,1,1,272,Not specified,58,Gas,No,850,250.0,No,Apartment ,70,No,As new,Unknown,1100
2298,2,Hyper equipped,2,1,2,206,Not specified,53,Gas,No,2400,300.0,No,Duplex ,140,Yes,As new,No,2700
2300,1,Hyper equipped,3,2,3,186,D,39,Gas,Yes,1650,100.0,No,Duplex ,180,No,Good,Yes,1750
2301,6,USA hyper equipped,2,2,1,88,B,16,Gas,Yes,1150,300.0,No,Apartment ,85,No,As new,Yes,1450
2302,1,Hyper equipped,2,1,1,150,C,30,Gas,Yes,845,160.0,No,Apartment ,79,No,Good,Yes,1005
2303,5,Installed,2,1,1,140,Not specified,25,Gas,No,1180,200.0,No,Apartment ,85,Unknown,As new,Yes,1380
2304,3,Installed,2,1,1,293,F,58,Gas,No,925,60.0,No,Apartment ,103,No,As new,No,985
2305,0,Hyper equipped,3,1,2,204,Not specified,44,Gas,Yes,1650,150.0,No,Loft ,165,No,Good,No,1800
2306,6,Hyper equipped,2,1,1,105,C,22,Gas,Yes,1220,160.0,No,Studio ,36,Yes,As new,Yes,1380
2307,3,Hyper equipped,1,1,1,89,B,19,Gas,Yes,1650,300.0,No,Duplex ,52,Yes,As new,Yes,1950
2308,2,Hyper equipped,1,1,1,86,B,18,Gas,Yes,1600,300.0,No,Apartment ,62,Yes,As new,Yes,1900
2311,2,Hyper equipped,3,1,1,199,Not specified,43,Electric,No,2500,89.29,No,Triplex ,110,Yes,As new,No,2500
2312,3,Installed,2,1,1,234,Not specified,49,Gas,No,1150,200.0,No,Apartment ,100,Yes,As new,Unknown,1350
2314,4,Hyper equipped,2,1,1,354,G,52,Gas,Yes,1550,100.0,No,Apartment ,100,No,As new,Yes,1650
2315,3,Installed,2,1,1,255,Not specified,53,Gas,Yes,1350,25.0,No,Apartment ,98,No,Just renovated,No,1375
2316,3,Installed,3,2,2,220,Not specified,47,Gas,Yes,1300,30.0,No,Duplex ,95,No,As new,Unknown,1330
2317,0,Hyper equipped,2,2,2,164,D,35,Gas,Yes,1250,110.0,No,Apartment ,100,No,As new,Yes,1360
2318,4,USA hyper equipped,3,2,1,369,Not specified,48,Gas,Yes,1700,250.0,No,Apartment ,150,No,As new,Yes,1950
2319,6,Hyper equipped,2,1,1,113,C,22,Gas,Yes,1150,150.0,No,Apartment ,85,No,As new,Yes,1300
2320,0,Hyper equipped,2,2,2,235,Not specified,56,Electric,Yes,2100,350.0,No,Apartment ,102,Yes,Just renovated,Unknown,2450
2322,2,USA hyper equipped,2,1,1,122,C,24,Gas,Yes,1450,200.0,No,Apartment ,84,No,As new,Yes,1650
2324,2,Hyper equipped,2,1,1,180,D,38,Gas,Yes,650,160.0,No,Studio ,33,Unknown,Good,Yes,810
2326,0,Hyper equipped,2,2,2,183,D,38,Gas,Yes,2200,50.0,No,Apartment ,133,Unknown,As new,Unknown,2250
2329,0,USA hyper equipped,2,2,2,183,D,38,Gas,Yes,2200,50.0,No,Duplex ,133,No,As new,No,2250
2330,2,Installed,2,1,1,248,E,49,Gas,Yes,1150,150.0,No,Apartment ,96,No,Just renovated,Unknown,1300
2331,2,Hyper equipped,1,1,1,217,E,43,Gas,Yes,925,50.0,No,Apartment ,66,No,As new,Unknown,975
2332,1,USA installed,1,1,1,248,Not specified,52,Gas,Yes,1015,300.0,No,Duplex ,55,Yes,As new,No,1315
2339,3,Semi equipped,1,1,1,142,C,85,Gas,Yes,700,140.0,No,Studio ,28,No,As new,Yes,840
2340,0,Hyper equipped,2,1,2,207,D,49,Gas,Yes,1150,85.0,No,Triplex ,141,Unknown,As new,Unknown,1235
2341,4,Hyper equipped,1,1,1,368,G,50,Gas,Yes,900,200.0,No,Studio ,45,Yes,As new,Yes,1100
2343,3,USA hyper equipped,1,1,1,202,Not specified,27,Gas,Yes,1375,159.04,No,Apartment ,75,Yes,As new,Unknown,1375
2344,1,Hyper equipped,1,1,1,182,Not specified,36,Gas,Yes,860,99.47,No,Apartment ,60,Yes,Good,No,860
2345,1,Hyper equipped,2,1,2,337,F,67,Gas,Yes,1850,100.0,No,Duplex ,132,No,As new,Unknown,1950
2351,2,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750,300.0,No,Apartment ,18,Yes,Good,No,1050
2352,2,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750,300.0,No,Apartment ,20,Yes,Good,No,1050
2353,2,Hyper equipped,1,1,6,357,Not specified,85,Gas,Yes,700,300.0,No,Apartment ,18,Yes,Good,No,1000
2354,2,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750,300.0,No,Apartment ,18,Yes,Good,No,1050
2355,5,Hyper equipped,3,2,2,288,F,57,Gas,Yes,1650,150.0,No,Apartment ,110,No,Good,Yes,1800
2356,1,USA hyper equipped,2,1,2,94,B,19,Gas,Yes,1450,175.0,No,Apartment ,110,No,As new,Yes,1625
2358,3,Hyper equipped,1,1,1,181,D,36,Gas,Yes,1250,130.0,No,Apartment ,70,No,As new,Yes,1380
2360,4,USA hyper equipped,2,1,1,68,B,14,Gas,Yes,2000,175.0,No,Apartment ,100,Yes,As new,Yes,2175
2362,0,Hyper equipped,1,1,1,346,F,74,Gas,Yes,825,120.28,No,Studio ,45,No,As new,Unknown,825
2363,2,Hyper equipped,2,1,1,144,C,29,Gas,Yes,1200,200.0,No,Apartment ,85,No,Good,Yes,1400
2364,4,Not installed,2,1,1,154,Not specified,36,Gas,Yes,970,30.0,No,Apartment ,85,No,As new,Unknown,1000
2365,3,Hyper equipped,3,1,2,55,B,11,Gas,Yes,1300,50.0,No,Apartment ,125,No,Good,No,1350
2366,3,Hyper equipped,3,1,2,214,E,49,Gas,Yes,1400,250.0,No,Apartment ,120,Unknown,As new,Yes,1650
2367,2,Installed,3,1,2,209,D,40,Gas,Yes,1650,165.0,No,Duplex ,170,No,Just renovated,Unknown,1815
2368,2,USA hyper equipped,1,1,1,248,Not specified,52,Gas,Yes,1055,75.0,No,Apartment ,100,Unknown,Good,Yes,1130
2369,0,Hyper equipped,3,1,2,205,Not specified,47,Gas,Yes,1850,56.17,No,House ,175,No,As new,Unknown,1850
2370,2,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,150.0,No,Apartment ,120,No,As new,Yes,1400
2371,3,Hyper equipped,2,1,2,85,B,14,Gas,Yes,1250,180.0,No,Apartment ,77,No,As new,Yes,1430
2372,3,Hyper equipped,2,2,2,272,E,54,Gas,Yes,1600,122.36,No,Duplex ,100,No,As new,Unknown,1600
2373,1,Hyper equipped,1,1,1,140,C,35,Gas,Yes,1500,200.0,No,Apartment ,96,Yes,Good,Yes,1700
2374,1,USA uninstalled,2,1,1,203,Not specified,60,Gas,Yes,2250,100.0,No,Apartment ,130,No,As new,No,2350
2378,2,Hyper equipped,2,2,2,337,F,67,Gas,Yes,1850,115.0,No,Penthouse ,136,Unknown,Good,No,1965
2379,3,USA hyper equipped,2,1,1,170,D,40,Gas,Yes,1500,150.0,No,Duplex ,130,Yes,Good,Yes,1650
2380,5,Hyper equipped,2,1,1,169,Not specified,37,Gas,Yes,1990,165.0,No,Apartment ,101,No,As new,Yes,2155
2384,1,Hyper equipped,2,1,1,247,Not specified,63,Gas,No,1250,100.0,No,Apartment ,75,Yes,As new,Yes,1350
2385,2,Installed,3,2,2,217,Not specified,46,Gas,Yes,1200,300.0,No,Penthouse ,180,No,Good,No,1500
2387,4,Installed,1,1,1,37,A,63,Gas,Yes,1500,300.0,No,Apartment ,60,Yes,As new,Yes,1800
2388,3,Installed,1,1,1,263,Not specified,50,Gas,Yes,900,1.0,No,Apartment ,40,No,Good,No,901
2389,0,USA hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200,200.0,No,Apartment ,106,No,Just renovated,No,1400
2391,2,Hyper equipped,4,2,3,160,D,34,Gas,Yes,2400,200.0,No,Apartment ,200,No,As new,Yes,2600
2393,0,Hyper equipped,2,1,1,244,E,48,Gas,Yes,1400,200.0,No,Apartment ,105,No,As new,No,1600
2394,6,USA hyper equipped,2,2,3,167,D,33,Gas,Yes,2350,160.0,No,Apartment ,150,No,As new,Yes,2510
2395,1,USA hyper equipped,2,2,2,141,C,28,Gas,Yes,1650,200.0,No,Apartment ,133,Yes,As new,Yes,1850
2397,1,USA installed,2,1,1,101,C,22,Gas,Yes,1150,95.0,No,Apartment ,98,No,As new,Yes,1245
2398,0,Installed,2,1,1,220,Not specified,47,Gas,Yes,1300,110.0,No,Apartment ,100,No,Good,Yes,1410
2399,1,USA installed,1,1,1,241,E,51,Gas,Yes,1100,85.0,No,Apartment ,70,Yes,As new,No,1185
2400,1,Installed,2,1,1,171,D,36,Gas,Yes,1750,100.0,No,Apartment ,155,No,As new,Yes,1850
2408,4,Hyper equipped,1,1,1,293,F,62,Gas,Yes,850,85.57,No,Penthouse ,40,No,As new,No,850
2409,2,Hyper equipped,4,2,3,97,C,20,Gas,Yes,2500,185.0,No,Apartment ,198,No,Good,Yes,2685
2410,2,USA hyper equipped,1,1,1,214,Not specified,49,Gas,Yes,1400,300.0,No,Apartment ,85,Yes,Good,No,1700
2414,0,Hyper equipped,2,1,1,203,Not specified,39,Gas,Yes,1000,165.0,No,Apartment ,114,No,As new,Yes,1165
2415,4,Hyper equipped,2,1,1,106,Not specified,21,Gas,Yes,940,165.0,No,Apartment ,76,No,As new,Yes,1105
2419,2,Semi equipped,2,1,1,243,E,63,Fuel oil,Yes,900,160.0,No,Apartment ,70,No,Good,Unknown,1060
2420,0,USA hyper equipped,3,1,2,227,Not specified,55,Gas,Yes,1950,59.21,No,House ,180,No,As new,Unknown,1950
2421,0,Hyper equipped,4,1,2,188,Not specified,52,Gas,Yes,1690,51.32,No,House ,145,Unknown,Good,No,1690
2422,3,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750,86.75,No,Apartment ,55,Unknown,To be done up,Unknown,750
2424,3,Hyper equipped,2,2,1,70,B,13,Gas,Yes,1250,200.0,No,Apartment ,95,No,As new,Yes,1450
2428,0,USA hyper equipped,3,1,2,275,E,55,Gas,Yes,1900,29.0,No,House ,130,No,As new,No,1929
2430,1,USA hyper equipped,2,1,2,234,Not specified,49,Gas,No,1150,150.0,No,Loft ,110,Unknown,Good,Yes,1300
2434,3,Hyper equipped,2,1,2,204,Not specified,44,Electric,Yes,1650,190.84,No,Apartment ,94,No,As new,Yes,1650
2435,2,Hyper equipped,1,1,1,85,B,17,Gas,No,850,50.0,No,Studio ,43,Yes,As new,Unknown,900
2438,3,USA installed,1,1,1,212,E,42,Gas,Yes,1200,220.0,No,Apartment ,102,Yes,Just renovated,Yes,1420
2440,4,Installed,2,1,1,216,E,43,Gas,Yes,1200,250.0,No,Apartment ,90,No,As new,Unknown,1450
2441,1,USA hyper equipped,2,1,2,286,F,74,Fuel oil,Yes,1100,250.0,No,Apartment ,85,No,As new,Unknown,1350
2442,3,Hyper equipped,2,1,2,132,C,26,Gas,Yes,1250,150.0,No,Apartment ,111,No,As new,Yes,1400
2444,0,USA hyper equipped,3,1,3,195,D,38,Gas,Yes,2200,1.0,No,House ,130,No,As new,Unknown,2201
2446,2,Hyper equipped,1,1,1,202,D,57,Gas,Yes,1250,180.0,No,Apartment ,98,No,As new,Yes,1430
2448,2,USA hyper equipped,2,1,1,122,C,24,Gas,Yes,1450,200.0,No,Apartment ,84,No,As new,Yes,1650
2450,3,Installed,1,1,1,126,Not specified,25,Gas,No,710,82.12,No,Apartment ,85,No,As new,Unknown,710
2451,1,Installed,1,1,1,314,F,62,Gas,Yes,1075,200.0,No,Apartment ,62,No,Just renovated,Unknown,1275
2452,5,USA hyper equipped,2,1,1,300,F,49,Gas,Yes,1150,75.0,No,Penthouse ,85,Unknown,As new,Yes,1225
2453,0,Hyper equipped,3,2,2,229,E,52,Gas,Yes,1600,150.0,No,Loft ,147,Yes,As new,Yes,1750
2454,4,USA hyper equipped,2,1,1,209,D,15,Gas,Yes,1595,75.0,No,Apartment ,95,Yes,As new,Unknown,1670
2455,4,Installed,3,2,2,208,D,41,Gas,Yes,1450,100.0,No,Penthouse ,100,Unknown,Good,Yes,1550
2457,3,Hyper equipped,2,2,1,45,A,9,Gas,Yes,2250,250.0,No,Apartment ,120,No,As new,Yes,2500
2458,2,Hyper equipped,2,1,2,227,Not specified,52,Gas,Yes,1600,185.06,No,Apartment ,120,Yes,As new,No,1600
2459,0,Hyper equipped,3,1,2,420,G,36,Gas,Yes,2000,152.95,No,Duplex ,170,No,Just renovated,Unknown,2000
2460,2,Installed,2,1,2,142,C,28,Gas,Yes,1100,280.0,No,Apartment ,106,No,As new,Yes,1380
2464,4,USA hyper equipped,3,1,1,109,C,27,Gas,Yes,1390,200.0,No,Apartment ,107,Unknown,As new,Yes,1590
2465,2,USA installed,2,1,1,247,Not specified,63,Gas,Yes,1250,60.0,No,Apartment ,108,Unknown,As new,Yes,1310
2466,5,USA hyper equipped,3,1,1,176,D,38,Gas,Yes,1950,300.0,No,Duplex ,80,Yes,As new,Yes,2250
2467,2,USA installed,2,2,1,227,Not specified,52,Gas,Yes,1600,150.0,No,Apartment ,85,Yes,As new,Yes,1750
2468,2,Installed,2,1,1,233,Not specified,58,Gas,Yes,1100,160.0,No,Apartment ,70,No,As new,Yes,1260
2471,0,USA hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,65.0,No,Ground floor ,65,No,As new,No,965
2472,0,USA hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,65.0,No,Ground floor ,65,No,As new,No,965
2473,1,Installed,3,1,2,154,D,30,Gas,Yes,1500,180.0,No,Apartment ,125,Unknown,Just renovated,Yes,1680
2475,2,Hyper equipped,2,1,2,159,Not specified,42,Gas,Yes,1500,250.0,No,Apartment ,110,No,Good,Yes,1750
2476,2,Installed,3,1,2,136,C,40,Gas,No,2050,100.0,No,Apartment ,110,Yes,Good,No,2150
2477,6,Hyper equipped,2,2,1,247,Not specified,63,Gas,Yes,1250,120.0,No,Apartment ,102,No,As new,Yes,1370
2479,4,Installed,3,2,2,259,E,55,Gas,Yes,2000,350.0,No,Apartment ,180,No,As new,Yes,2350
2480,2,Installed,1,1,1,272,Not specified,58,Gas,No,850,150.0,No,Apartment ,65,Yes,As new,Unknown,1000
2481,1,USA hyper equipped,1,1,2,48,B,10,Gas,Yes,1100,125.0,No,Apartment ,75,Yes,As new,Yes,1225
2482,1,Semi equipped,2,1,1,189,D,45,Fuel oil,Yes,1300,50.0,No,Apartment ,95,No,As new,Unknown,1350
2483,2,USA hyper equipped,2,1,2,122,C,24,Gas,Yes,1450,200.0,No,Apartment ,74,No,As new,Yes,1650
2485,4,Semi equipped,2,1,1,117,C,56,Gas,Yes,1225,160.0,No,Apartment ,88,No,Good,Yes,1385
2488,1,Hyper equipped,3,1,1,200,Not specified,42,Gas,Yes,1800,150.0,No,Duplex ,140,No,As new,Yes,1950
2490,3,Installed,1,1,1,365,Not specified,79,Gas,Yes,800,160.0,No,Apartment ,60,Yes,As new,No,960
2491,6,Installed,2,1,1,173,D,33,Gas,Yes,1575,155.0,No,Apartment ,107,No,As new,Yes,1730
2492,4,Installed,1,1,1,37,A,63,Gas,Yes,1500,250.0,No,Apartment ,60,Yes,Good,Yes,1750
2493,1,USA hyper equipped,1,1,1,228,E,48,Gas,Yes,1150,70.0,No,Apartment ,114,No,As new,No,1220
2495,6,Hyper equipped,2,1,2,173,D,33,Gas,Yes,1575,182.17,No,Apartment ,107,No,As new,Yes,1575
2496,1,Hyper equipped,2,1,1,217,Not specified,46,Gas,No,1200,138.8,No,Apartment ,70,Unknown,Just renovated,Unknown,1200
2498,4,USA hyper equipped,2,1,1,39,A,9,Gas,Yes,1300,79.0,No,Apartment ,89,No,As new,Yes,1379
2501,1,Hyper equipped,1,1,1,173,D,34,Gas,Yes,1100,50.0,No,Apartment ,87,No,Good,No,1150
2502,3,Installed,2,1,2,168,D,63,Gas,Yes,1250,150.0,No,Apartment ,90,No,As new,Yes,1400
2503,2,Installed,3,1,2,427,G,92,Gas,Yes,1150,100.0,No,Duplex ,91,No,Good,Unknown,1250
2504,2,USA hyper equipped,2,2,2,64,B,13,Gas,Yes,1600,150.0,No,Apartment ,103,No,As new,Yes,1750
2505,3,Semi equipped,2,1,1,189,D,38,Gas,Yes,1200,200.0,No,Duplex ,92,No,Good,No,1400
2509,4,Hyper equipped,2,2,2,193,D,28,Gas,Yes,1825,150.0,No,Penthouse ,121,Unknown,Just renovated,Yes,1975
2512,6,Hyper equipped,2,1,1,159,Not specified,42,Gas,Yes,1500,150.0,No,Apartment ,101,Unknown,As new,Yes,1650
2513,2,Hyper equipped,3,2,3,206,D,43,Gas,Yes,2225,150.0,No,Apartment ,155,No,As new,Yes,2375
2514,2,Hyper equipped,3,2,3,206,D,43,Gas,Yes,2225,150.0,No,Apartment ,155,No,As new,Yes,2375
2515,1,Hyper equipped,2,1,1,228,E,45,Gas,Yes,1450,260.0,No,Apartment ,88,Yes,Good,Yes,1710
2516,2,USA hyper equipped,2,2,2,175,D,52,Gas,Yes,1650,300.0,No,Apartment ,93,No,Just renovated,Yes,1950
2517,0,Hyper equipped,3,2,2,244,E,52,Gas,Yes,2550,100.0,No,House ,130,No,As new,No,2650
2518,0,USA hyper equipped,3,2,3,244,E,52,Gas,Yes,2550,100.0,No,House ,137,No,Good,No,2650
2519,2,USA hyper equipped,3,1,2,254,E,49,Gas,Yes,1650,120.0,No,Apartment ,118,No,As new,Yes,1770
2520,1,Installed,2,1,2,183,Not specified,40,Gas,Yes,2050,50.0,No,Duplex ,135,Unknown,As new,No,2100
2521,1,Installed,1,1,1,250,E,61,Gas,Yes,990,40.0,No,Apartment ,52,No,Good,Unknown,1030
2523,1,USA hyper equipped,1,1,1,281,Not specified,61,Gas,Yes,990,125.0,No,Apartment ,65,No,As new,Yes,1115
2524,4,USA hyper equipped,3,2,1,173,Not specified,41,Gas,Yes,1900,250.0,No,Apartment ,150,No,As new,Yes,2150
2525,1,USA hyper equipped,3,2,1,67,B,14,Gas,Yes,1400,152.0,No,Apartment ,117,No,As new,Yes,1552
2526,0,USA hyper equipped,2,2,2,128,C,25,Gas,Yes,1950,150.0,No,Apartment ,146,No,As new,Yes,2100
2527,1,USA hyper equipped,1,1,1,127,C,31,Gas,Yes,1704,262.0,No,Apartment ,108,Yes,As new,Yes,1966
2528,0,Semi equipped,1,1,1,357,Not specified,85,Gas,Yes,700,160.0,No,Apartment ,40,Unknown,Good,Unknown,860
2530,1,Hyper equipped,1,1,1,165,D,32,Gas,Yes,1050,200.0,No,Apartment ,68,Yes,As new,Yes,1250
2532,1,Hyper equipped,4,2,2,114,C,15,Gas,Yes,1675,350.0,No,Apartment ,123,No,As new,Yes,2025
2533,3,Hyper equipped,2,2,2,116,C,23,Gas,Yes,1250,150.0,No,Apartment ,110,No,As new,Yes,1400
2535,0,Hyper equipped,3,1,1,101,C,18,Gas,Yes,1600,150.0,No,Apartment ,146,No,As new,Yes,1750
2537,5,USA hyper equipped,2,1,1,83,B,46,Gas,Yes,1200,150.0,No,Apartment ,95,Unknown,As new,Yes,1350
2538,3,Hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950,175.0,No,Duplex ,65,Unknown,Just renovated,Yes,1125
2540,1,Installed,2,1,1,146,C,29,Gas,Yes,1150,60.0,No,Apartment ,72,No,As new,Unknown,1210
2543,1,Hyper equipped,3,2,3,294,F,58,Gas,Yes,2250,260.24,No,Apartment ,170,No,Good,Yes,2250
2545,1,USA installed,1,1,2,159,Not specified,42,Gas,Yes,1500,173.49,No,Apartment ,100,Yes,Good,Yes,1500
2547,5,Installed,1,1,1,234,Not specified,49,Gas,Yes,1150,200.0,No,Apartment ,65,No,As new,Unknown,1350
2549,2,Installed,2,2,2,175,Not specified,35,Gas,No,1795,120.0,No,Apartment ,160,No,As new,Unknown,1915
2550,1,Installed,3,1,2,110,C,28,Gas,Yes,2000,230.0,No,Ground floor ,125,No,As new,Yes,2230
2552,6,Hyper equipped,3,1,1,159,Not specified,42,Gas,Yes,1500,250.0,No,Apartment ,110,Unknown,Good,Yes,1750
2553,2,Hyper equipped,2,1,1,251,E,50,Gas,Yes,1200,50.0,No,Apartment ,73,No,As new,No,1250
2554,6,Hyper equipped,3,1,1,205,Not specified,47,Gas,Yes,1850,350.0,No,Apartment ,130,No,Good,Yes,2200
2556,3,USA hyper equipped,3,2,1,214,Not specified,12,Gas,Yes,1400,150.0,No,Apartment ,108,No,Good,Yes,1550
2557,6,USA hyper equipped,3,1,1,314,F,67,Gas,Yes,1950,350.0,No,Apartment ,149,Yes,As new,Yes,2300
2558,0,Installed,2,2,1,341,F,42,Gas,Yes,1500,173.49,No,Apartment ,125,Yes,As new,Yes,1500
2559,2,USA installed,4,2,2,44,A,53,Gas,Yes,2400,183.54,No,Duplex ,125,No,As new,No,2400
2560,1,Hyper equipped,2,1,2,208,D,44,Gas,Yes,1400,161.93,No,Apartment ,118,No,As new,Yes,1400
2566,0,Installed,3,1,1,204,Not specified,44,Gas,No,1650,125.0,No,Apartment ,120,No,As new,Unknown,1775
2567,1,Not installed,2,1,1,223,E,44,Gas,Yes,900,25.0,No,Apartment ,89,No,Good,Unknown,925
2568,3,Installed,1,1,1,124,C,25,Gas,Yes,800,175.0,No,Apartment ,55,Yes,As new,Yes,975
2569,0,USA hyper equipped,3,2,2,167,D,33,Gas,Yes,2400,170.0,No,Penthouse ,135,No,As new,Yes,2570
2572,2,Hyper equipped,1,1,1,169,D,35,Gas,Yes,925,85.0,No,Apartment ,85,No,As new,No,1010
2573,2,USA hyper equipped,2,1,1,141,C,41,Gas,Yes,1400,250.0,No,Apartment ,95,No,As new,Yes,1650
2576,2,Hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,160.38,No,Studio ,34,Yes,As new,Yes,1100
2577,4,Hyper equipped,1,1,1,411,Not specified,92,Gas,Yes,975,150.0,No,Apartment ,60,No,Just renovated,Unknown,1125
2579,3,Hyper equipped,2,1,2,199,D,51,Gas,Yes,1600,80.0,No,Apartment ,115,No,Just renovated,Yes,1680
2582,0,Installed,2,1,2,111,C,23,Gas,Yes,1550,150.0,No,Apartment ,99,No,As new,Yes,1700
2584,2,Installed,3,1,1,290,F,46,Electric,Yes,1200,80.0,No,Apartment ,90,No,As new,Unknown,1280
2585,2,Semi equipped,1,1,1,277,Not specified,61,Gas,Yes,750,50.0,No,Apartment ,46,Unknown,Good,Unknown,800
2586,3,Hyper equipped,2,2,1,66,B,38,Gas,Yes,1450,167.71,No,Apartment ,84,Unknown,As new,Unknown,1450
